                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.79521,                0.94289,                0.81368,                0.83681,                0.61897,                0.79959,                0.78489,                0.58985,                0.63789,                0.81988,                 0.8089,                0.50586,                0.88873,                  1.284,                 1.0186,                0.94124,              0.0011636,              0.0011636,              0.0011636
                     64,                0.79237,                0.93176,                0.75988,                0.87295,                0.69587,                0.69682,                0.74294,                0.56547,                0.71435,                0.71478,                0.76535,                0.48005,                0.93254,                 1.2866,                 1.0496,                0.96118,              0.0011554,              0.0011554,              0.0011554
                     65,                0.75421,                0.93459,                0.75023,                0.86766,                0.69587,                0.69682,                0.74294,                0.56547,                0.71435,                0.71478,                0.76535,                0.48005,                0.93254,                 1.2866,                 1.0496,                0.96118,              0.0011471,              0.0011471,              0.0011471
                     66,                0.81614,                 0.9659,                0.87597,                0.87268,                0.65635,                 0.5953,                0.63389,                0.46916,                0.65635,                 0.5953,                0.63536,                0.37307,                0.97979,                 1.4314,                  1.249,                 0.9837,              0.0011389,              0.0011389,              0.0011389
                     67,                 0.8104,                0.93396,                0.79999,                0.86584,                0.60948,                0.57117,                 0.6079,                0.45664,                0.60793,                0.58216,                 0.6199,                0.37937,                 1.0017,                 1.3934,                 1.2805,                 0.9666,              0.0011306,              0.0011306,              0.0011306
                     68,                0.79834,                0.98559,                 0.8073,                0.85706,                0.56887,                0.71174,                0.66109,                0.51343,                0.59426,                 0.6778,                0.67825,                0.44861,                0.91854,                 1.4034,                 1.1663,                0.92984,              0.0011224,              0.0011224,              0.0011224
                     69,                0.81656,                0.89655,                0.79019,                0.85334,                0.56887,                0.71174,                0.66109,                0.51343,                0.59426,                 0.6778,                0.67825,                0.44861,                0.91854,                 1.4034,                 1.1663,                0.92984,              0.0011141,              0.0011141,              0.0011141
                     70,                0.81982,                 0.9001,                 0.9288,                0.85477,                0.49248,                0.75959,                0.66545,                0.53603,                0.49675,                0.76682,                0.67608,                0.44969,                0.84214,                 1.3014,                 1.3178,                0.92483,              0.0011059,              0.0011059,              0.0011059
                     71,                0.77323,                0.79225,                0.80943,                0.85495,                0.48347,                0.76121,                0.67733,                0.53556,                0.54661,                0.68478,                0.69398,                0.42869,                0.89042,                 1.3059,                 1.2264,                0.95419,              0.0010976,              0.0010976,              0.0010976
                     72,                0.82973,                0.88689,                0.78517,                0.85654,                 0.5907,                0.62802,                0.70585,                 0.5623,                0.59432,                0.63992,                0.71593,                0.45862,                0.82959,                 1.2544,                 1.0993,                0.93842,              0.0010894,              0.0010894,              0.0010894
                     73,                0.76135,                0.84798,                0.82249,                0.85877,                 0.5907,                0.62802,                0.70585,                 0.5623,                0.59432,                0.63992,                0.71593,                0.45862,                0.82959,                 1.2544,                 1.0993,                0.93842,              0.0010811,              0.0010811,              0.0010811
                     74,                0.79986,                0.88648,                0.78715,                0.86861,                0.53785,                0.71032,                0.69006,                0.55643,                0.54017,                0.72619,                0.70204,                0.46307,                0.84424,                 1.1604,                 1.1536,                0.94855,              0.0010729,              0.0010729,              0.0010729
                     75,                0.80419,                0.95968,                0.79961,                0.85222,                0.68029,                0.55918,                0.68305,                0.54882,                0.66626,                0.56826,                0.69825,                0.45741,                0.83404,                 1.1489,                 1.3347,                0.93337,              0.0010646,              0.0010646,              0.0010646
                     76,                0.74852,                 0.8165,                0.84998,                0.85937,                0.71213,                0.59671,                0.72712,                 0.5788,                0.74566,                0.59006,                0.73648,                0.46708,                0.82319,                  1.213,                  1.103,                0.92082,              0.0010564,              0.0010564,              0.0010564
                     77,                0.74498,                0.81523,                0.73163,                0.85964,                0.71213,                0.59671,                0.72712,                 0.5788,                0.74566,                0.59006,                0.73648,                0.46708,                0.82319,                  1.213,                  1.103,                0.92082,              0.0010481,              0.0010481,              0.0010481
                     78,                0.77077,                0.84758,                0.79823,                0.84879,                0.75501,                0.65338,                0.77481,                0.61342,                0.75125,                0.64941,                0.77895,                0.48382,                0.81385,                 1.2372,                0.96349,                0.92166,              0.0010399,              0.0010399,              0.0010399
                     79,                0.80578,                0.89307,                0.77932,                0.87522,                0.76412,                0.63423,                0.75705,                0.60225,                0.77495,                0.64217,                0.77082,                0.48223,                0.86397,                  1.197,                 1.0557,                0.94721,              0.0010316,              0.0010316,              0.0010316
                     80,                0.77459,                0.79773,                0.71766,                0.87029,                0.71243,                 0.5953,                0.72832,                0.57589,                0.71731,                0.59927,                0.72629,                0.46623,                0.88532,                 1.2545,                 1.1177,                0.96203,              0.0010234,              0.0010234,              0.0010234
                     81,                0.71208,                0.79335,                0.72372,                0.83167,                0.71243,                 0.5953,                0.72832,                0.57589,                0.71731,                0.59927,                0.72629,                0.46623,                0.88532,                 1.2545,                 1.1177,                0.96203,              0.0010151,              0.0010151,              0.0010151
                     82,                0.76213,                0.87671,                0.75562,                 0.8476,                 0.6515,                0.63412,                0.72295,                0.55867,                0.61515,                0.68464,                0.72969,                0.43933,                0.90002,                 1.3297,                  1.042,                0.94022,              0.0010069,              0.0010069,              0.0010069
                     83,                0.75189,                0.87823,                0.74999,                0.84785,                0.62204,                0.72222,                0.75942,                0.60043,                0.62342,                0.73544,                0.76024,                0.45282,                0.82656,                 1.2896,                0.96728,                0.91163,             0.00099862,             0.00099862,             0.00099862
                     84,                 0.7289,                 0.7622,                0.72642,                 0.8596,                0.75302,                0.70763,                0.80721,                0.65341,                0.75982,                0.71682,                0.80889,                0.49891,                0.75916,                 1.2516,                0.82614,                0.90548,             0.00099036,             0.00099036,             0.00099036
                     85,                0.77613,                0.82764,                0.73449,                0.84189,                0.75302,                0.70763,                0.80721,                0.65341,                0.75982,                0.71682,                0.80889,                0.49891,                0.75916,                 1.2516,                0.82614,                0.90548,             0.00098211,             0.00098211,             0.00098211
                     86,                0.81272,                 0.8125,                0.74018,                0.86404,                0.74149,                0.73867,                0.82338,                0.66609,                0.74548,                0.74148,                0.81718,                0.50733,                0.75559,                   1.33,                0.81602,                0.89653,             0.00097386,             0.00097386,             0.00097386
                     87,                0.82211,                0.89358,                0.73214,                0.86512,                0.75719,                0.72581,                0.82595,                0.65714,                0.75343,                0.72144,                0.81163,                0.49326,                0.77855,                 1.3155,                0.82088,                0.90271,             0.00096561,             0.00096561,             0.00096561
                     88,                0.74752,                0.79723,                0.72137,                 0.8453,                0.74489,                0.71101,                0.83223,                0.65799,                 0.7372,                0.70307,                0.82077,                0.47187,                0.79618,                 1.2732,                 0.8236,                0.91197,             0.00095736,             0.00095736,             0.00095736
                     89,                0.77672,                0.84614,                0.71812,                0.85999,                0.74489,                0.71101,                0.83223,                0.65799,                 0.7372,                0.70307,                0.82077,                0.47187,                0.79618,                 1.2732,                 0.8236,                0.91197,             0.00094911,             0.00094911,             0.00094911
                     90,                0.79096,                0.83641,                0.73388,                0.86436,                0.76761,                0.74931,                 0.8266,                0.66943,                0.77107,                0.74858,                0.82541,                0.48217,                0.78536,                 1.2132,                0.81889,                0.90858,             0.00094085,             0.00094085,             0.00094085
                     91,                0.78763,                 0.8814,                0.75941,                 0.8563,                0.77491,                0.74301,                0.83805,                0.67539,                0.85537,                 0.6734,                0.83534,                0.51993,                0.79105,                 1.2274,                 0.8214,                0.91723,              0.0009326,              0.0009326,              0.0009326
                     92,                 0.6919,                0.71585,                0.66584,                   0.83,                0.86296,                0.70595,                0.84261,                0.67619,                0.85474,                0.69524,                0.83135,                0.54001,                0.78288,                 1.2342,                0.82443,                0.91865,             0.00092435,             0.00092435,             0.00092435
                     93,                0.88048,                0.83554,                0.77052,                0.84422,                0.86296,                0.70595,                0.84261,                0.67619,                0.85474,                0.69524,                0.83135,                0.54001,                0.78288,                 1.2342,                0.82443,                0.91865,              0.0009161,              0.0009161,              0.0009161
                     94,                0.77859,                0.76596,                0.73962,                0.84085,                0.86294,                0.68099,                0.82753,                0.67441,                 0.8579,                0.67703,                0.82408,                0.52938,                0.79297,                 1.2729,                0.85212,                0.92871,             0.00090785,             0.00090785,             0.00090785
                     95,                0.80884,                0.85811,                0.72411,                0.85654,                0.73229,                0.76048,                  0.818,                0.65113,                 0.7291,                0.75638,                0.81791,                0.49539,                 0.8533,                 1.3117,                0.87864,                0.93973,              0.0008996,              0.0008996,              0.0008996
