                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2758,                 1.4772,                 1.0243,                0.41928,                0.73154,                0.47278,                0.33031,                 1.1165,                 1.4293,                 1.0295,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.3154,                 1.4359,                0.98974,                0.41928,                0.73154,                0.47278,                0.33031,                 1.1165,                 1.4293,                 1.0295,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.4167,                 1.4345,                 1.0468,                0.46601,                0.61752,                0.49129,                 0.3575,                 1.0962,                 1.3865,                  1.028,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.4027,                 1.4702,                 1.0339,                0.40945,                0.69479,                0.48139,                0.35024,                 1.0805,                 1.3841,                  1.019,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.2926,                 1.4261,                 1.0052,                0.45488,                0.65121,                 0.4823,                0.35823,                 1.0885,                 1.3746,                 1.0152,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.2634,                 1.4114,                 0.9862,                0.45488,                0.65121,                 0.4823,                0.35823,                 1.0885,                 1.3746,                 1.0152,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.3332,                 1.4298,                 1.0399,                0.40659,                0.71109,                0.48437,                0.34931,                 1.1236,                 1.3871,                 1.0227,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.1837,                 1.4072,                0.99047,                 0.4125,                0.68501,                0.47748,                0.34139,                 1.1217,                 1.3991,                 1.0287,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.1105,                  1.391,                 0.9936,                0.44378,                 0.6593,                0.47969,                0.34133,                 1.1174,                   1.41,                  1.034,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.1316,                 1.3879,                0.98017,                0.44378,                 0.6593,                0.47969,                0.34133,                 1.1174,                   1.41,                  1.034,              0.0001652,              0.0001652,              0.0001652
                     94,                  1.179,                 1.4206,                0.99559,                0.42562,                0.66599,                0.47543,                 0.3347,                 1.1292,                 1.4228,                 1.0365,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.0768,                  1.373,                0.97444,                0.43013,                0.70765,                0.47795,                0.34262,                 1.1056,                 1.4336,                 1.0244,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.1316,                 1.3858,                0.99652,                0.42565,                0.72567,                0.46806,                0.33512,                 1.0893,                 1.4482,                 1.0165,             0.00011569,             0.00011569,             0.00011569
                     97,                  1.193,                  1.441,                 1.0101,                0.42565,                0.72567,                0.46806,                0.33512,                 1.0893,                 1.4482,                 1.0165,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.1329,                 1.3876,                0.98884,                0.42876,                 0.7215,                0.46626,                0.32912,                 1.0794,                 1.4636,                 1.0119,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.0866,                 1.3561,                0.97097,                 0.4275,                0.70305,                0.46901,                0.32607,                 1.0609,                 1.4719,                 1.0066,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.1238,                 1.3723,                0.98498,                0.44052,                 0.6825,                0.46798,                0.32206,                 1.0522,                 1.4731,                 1.0039,             4.9677e-05,             4.9677e-05,             4.9677e-05
